latitude,longitude,frp,acq_time,confidence,satellite
-33.09133,-71.45613,20.84,1819,n,N
-33.06891,-71.45541,124.07,1819,h,N
-33.08318,-71.45534,7.01,1819,n,N
-33.07256,-71.4548,19.21,1819,n,N
-33.08681,-71.45453,7.01,1819,n,N
-33.07619,-71.45411,19.21,1819,n,N
-33.09044,-71.45381,23.93,1819,n,N
-33.07983,-71.45341,8.63,1819,n,N
-33.09408,-71.45312,23.93,1819,l,N
-33.08345,-71.45261,8.63,1819,n,N
-33.08707,-71.45183,20.84,1819,n,N
-33.0907,-71.45111,20.84,1819,l,N
-33.08258,-71.45039,57.86,1819,h,N
-33.06829,-71.45039,71.9,1819,n,N
-33.07194,-71.44982,70.08,1819,l,N
-33.08622,-71.44962,57.86,1819,l,N
-33.07557,-71.44914,70.08,1819,h,N
-33.08985,-71.44888,43.72,1819,n,N
-33.07921,-71.44845,45.55,1819,n,N
-33.08283,-71.44771,45.55,1819,l,N
-33.08645,-71.44691,61.32,1819,l,N
-33.06767,-71.4454,71.9,1819,l,N
-33.07132,-71.44482,70.08,1819,h,N
-33.07494,-71.44415,70.08,1819,n,N
-33.07068,-71.43977,222.91,1819,h,N
-33.05442,-71.32748,1.85,556,n,N
-33.10376,-71.31906,11.72,1819,l,N
-33.03436,-71.31878,0.92,556,n,N
-33.02569,-71.31848,1.6,556,n,N
-33.02225,-71.31778,1.27,556,n,N
-33.02747,-71.31735,1.32,556,n,N
-33.0188,-71.31709,1.27,556,n,N
-33.01535,-71.31641,1.7,556,n,N
-33.0119,-71.31575,1.7,556,n,N
-33.00845,-71.31508,1.88,556,n,N
-33.03497,-71.31431,0.92,556,n,N
-33.0142,-71.31342,7.66,1819,l,N
-33.06377,-71.3111,0.86,556,n,N
-33.00906,-71.3107,1.88,556,n,N
-33.06033,-71.31036,0.81,556,n,N
-33.00271,-71.31024,16.65,1819,n,N
-33.00633,-71.3096,16.65,1819,n,N
-33.00996,-71.30904,12.19,1819,n,N
-33.09251,-71.30838,0.87,556,n,N
-33.03101,-71.30588,1.08,556,n,N
-33.03274,-71.30473,0.81,556,n,N
-33.02929,-71.30403,0.81,556,n,N
